,ID,site,tank,pump,Meter_error_rate,Report_date,Report_date_DN
0,7428,0,0,0,-0.53,16/05/2019 0:00,1557928800.0
1,8553,0,1,1,-0.4,16/05/2019 0:00,1557928800.0
2,1812,0,1,2,-0.47,16/05/2019 0:00,1557928800.0
3,1056,1,1,3,-0.33,13/05/2021 0:00,1620828000.0
4,8489,1,1,4,-0.33,13/05/2021 0:00,1620828000.0
5,2052,1,1,5,-0.4,13/05/2021 0:00,1620828000.0
6,3608,1,2,6,-0.4,13/05/2021 0:00,1620828000.0
7,8251,2,1,1,0.33,14/03/2019 0:00,1552482000.0
8,6812,2,1,2,0.33,14/03/2019 0:00,1552482000.0
9,5744,2,2,7,0.33,14/03/2019 0:00,1552482000.0
10,9292,2,2,8,0.4,14/03/2019 0:00,1552482000.0
11,8336,2,3,3,0.4,14/03/2019 0:00,1552482000.0
12,6375,2,4,4,0.4,14/03/2019 0:00,1552482000.0
13,7224,3,1,5,-4.6,28/11/2020 0:00,1606482000.0
14,3486,4,3,7,0.46,8/05/2019 0:00,1557237600.0
15,7559,5,3,6,-33.8,7/07/2021 0:00,1625580000.0
16,7517,6,3,1,-0.33,11/08/2021 0:00,1628604000.0
17,8880,7,2,9,-1.28,21/06/2021 0:00,1624197600.0
18,2434,8,2,8,-2.46,2/04/2019 0:00,1554123600.0
19,2897,9,4,10,-2.67,20/08/2021 0:00,1629381600.0
20,6823,10,5,11,7.0,14/05/2021 0:00,1620914400.0
21,3882,11,1,12,0.33,14/04/2021 0:00,1618322400.0
22,2663,11,1,13,0.33,14/04/2021 0:00,1618322400.0
23,4872,12,6,4,0.33,11/09/2021 0:00,1631282400.0
24,4857,12,6,0,0.33,11/09/2021 0:00,1631282400.0
25,1252,13,3,10,-0.73,26/06/2021 0:00,1624629600.0
26,2860,14,0,9,-0.4,25/06/2021 0:00,1624543200.0
27,5135,15,0,1,-0.33,23/11/2021 0:00,1637586000.0
28,8078,15,0,2,-0.3,23/11/2021 0:00,1637586000.0
29,5445,16,1,1,-0.53,2/12/2021 0:00,1638363600.0
30,6120,16,1,3,-0.4,2/12/2021 0:00,1638363600.0
31,3553,16,1,4,-0.47,2/12/2021 0:00,1638363600.0
32,1020,17,5,0,0.33,29/08/2021 0:00,1630159200.0
33,3414,0,0,4,0.0,16/05/2019 0:00,1557928800.0
34,9149,0,1,4,0.0,16/05/2019 0:00,1557928800.0
35,7717,0,1,11,0.0,16/05/2019 0:00,1557928800.0
36,2082,1,1,0,0.0,13/05/2021 0:00,1620828000.0
37,6038,1,2,10,0.0,13/05/2021 0:00,1620828000.0
38,2312,1,6,1,0.0,13/05/2021 0:00,1620828000.0
39,5432,1,6,0,0.0,13/05/2021 0:00,1620828000.0
40,8155,2,1,3,0.0,14/03/2019 0:00,1552482000.0
41,6535,2,1,8,0.0,14/03/2019 0:00,1552482000.0
42,2790,2,3,1,0.0,14/03/2019 0:00,1552482000.0
43,5669,2,2,2,0.0,14/03/2019 0:00,1552482000.0
44,9036,2,2,6,0.0,14/03/2019 0:00,1552482000.0
45,4102,2,4,3,0.0,14/03/2019 0:00,1552482000.0
46,2176,3,1,3,0.0,19/02/2021 0:00,1613653200.0
47,8692,4,3,11,0.0,8/05/2019 0:00,1557237600.0
48,7877,5,3,7,0.0,7/07/2021 0:00,1625580000.0
49,8861,6,3,0,0.0,11/08/2021 0:00,1628604000.0
50,1199,7,2,1,0.0,21/06/2021 0:00,1624197600.0
51,9734,8,2,0,0.0,10/05/2019 0:00,1557410400.0
52,7066,9,4,6,0.0,20/08/2021 0:00,1629381600.0
53,3023,10,5,8,0.0,19/07/2021 0:00,1626616800.0
54,7142,11,1,8,0.0,14/04/2021 0:00,1618322400.0
55,8986,11,1,14,0.0,14/04/2021 0:00,1618322400.0
56,7206,12,6,10,0.0,11/09/2021 0:00,1631282400.0
57,3769,12,6,6,0.0,11/09/2021 0:00,1631282400.0
58,8274,13,3,4,0.0,26/06/2021 0:00,1624629600.0
59,8930,15,0,0,0.0,23/11/2021 0:00,1637586000.0
60,9930,15,0,15,0.0,23/11/2021 0:00,1637586000.0
61,5217,16,2,5,0.0,2/12/2021 0:00,1638363600.0
62,6133,16,6,10,0.0,2/12/2021 0:00,1638363600.0
63,9010,16,6,6,0.0,2/12/2021 0:00,1638363600.0
64,4291,14,0,11,0.0,25/06/2021 0:00,1624543200.0
65,5494,17,5,2,0.0,29/08/2021 0:00,1630159200.0
66,5104,3,1,16,-4.6,19/02/2021 0:00,1613653200.0
67,1658,8,2,17,-2.46,10/05/2019 0:00,1557410400.0
68,8110,10,5,18,7.0,19/07/2021 0:00,1626616800.0
69,8412,2,3,5,0.4,14/03/2019 00:00,1552482000.0
70,5045,2,3,8,0.4,14/03/2019 00:00,1552482000.0
71,8326,2,3,2,0.0,14/03/2019 00:00,1552482000.0
72,6534,2,3,4,0.0,14/03/2019 00:00,1552482000.0
73,8807,18,6,19,-0.53,21/01/2022 00:00,1642683600.0
74,2775,18,6,7,0.0,21/01/2022 00:00,1642683600.0
75,4324,19,3,6,-0.33,31/01/2022 00:00,1643547600.0
76,8645,19,3,4,0.0,31/01/2022 00:00,1643547600.0
77,2483,19,6,0,-0.33,31/01/2022 00:00,1643547600.0
78,2147,19,6,5,-0.4,31/01/2022 00:00,1643547600.0
79,5702,19,6,3,0.0,31/01/2022 00:00,1643547600.0
80,7904,19,6,4,0.0,31/01/2022 00:00,1643547600.0
81,9458,20,0,2,-0.4,30/11/2021 00:00,1638190800.0
82,5270,20,0,4,-0.4,30/11/2021 00:00,1638190800.0
83,4568,20,0,11,0.0,30/11/2021 00:00,1638190800.0
84,6161,20,0,1,0.0,30/11/2021 00:00,1638190800.0
85,2359,20,6,5,-0.47,30/11/2021 00:00,1638190800.0
86,9208,20,6,6,0.0,30/11/2021 00:00,1638190800.0
87,1638,20,3,9,-0.47,30/11/2021 00:00,1638190800.0
88,6198,20,3,11,0.0,30/11/2021 00:00,1638190800.0
89,3176,21,0,6,-0.4,19/11/2021 00:00,1637240400.0
90,5303,21,0,4,0.0,19/11/2021 00:00,1637240400.0
91,3558,21,2,0,-6.0,19/11/2021 00:00,1637240400.0
92,4238,21,2,5,0.0,19/11/2021 00:00,1637240400.0
93,8080,22,1,5,-0.7,02/12/2021 00:00,1638363600.0
94,2569,22,1,6,0.0,02/12/2021 00:00,1638363600.0
95,5283,22,3,6,-0.6,02/12/2021 00:00,1638363600.0
96,7602,22,3,0,-0.6,02/12/2021 00:00,1638363600.0
97,8650,22,3,5,0.0,02/12/2021 00:00,1638363600.0
98,5441,22,3,10,0.0,02/12/2021 00:00,1638363600.0
99,6582,23,3,6,-0.47,01/12/2021 00:00,1638277200.0
100,2467,23,3,0,-0.4,01/12/2021 00:00,1638277200.0
101,5916,23,3,5,0.0,01/12/2021 00:00,1638277200.0
102,5645,23,2,11,0.0,01/12/2021 00:00,1638277200.0
103,7086,23,2,6,-0.4,01/12/2021 00:00,1638277200.0
104,1793,23,2,0,-0.4,01/12/2021 00:00,1638277200.0
105,4733,23,2,10,0.0,01/12/2021 00:00,1638277200.0
106,6973,23,6,7,0.0,01/12/2021 00:00,1638277200.0
107,8648,24,0,0,0.67,29/11/2021 00:00,1638104400.0
108,5503,24,0,5,0.47,29/11/2021 00:00,1638104400.0
109,9486,24,0,6,0.0,29/11/2021 00:00,1638104400.0
110,1023,24,0,2,0.0,29/11/2021 00:00,1638104400.0
111,9877,24,6,0,0.47,29/11/2021 00:00,1638104400.0
112,2310,24,6,2,0.0,29/11/2021 00:00,1638104400.0
113,8000,25,0,9,-0.33,30/09/2021 00:00,1632924000.0
114,1721,25,0,8,0.0,30/09/2021 00:00,1632924000.0
115,7500,25,6,0,0.53,30/09/2021 00:00,1632924000.0
116,2279,25,6,4,0.0,30/09/2021 00:00,1632924000.0
117,9701,25,1,5,0.4,30/09/2021 00:00,1632924000.0
118,7940,25,1,11,0.6,30/09/2021 00:00,1632924000.0
119,6387,25,1,2,0.0,30/09/2021 00:00,1632924000.0
120,1228,25,1,3,0.0,30/09/2021 00:00,1632924000.0
121,2837,25,3,0,0.47,30/09/2021 00:00,1632924000.0
122,1636,25,3,4,0.0,30/09/2021 00:00,1632924000.0
123,8173,26,6,10,0.33,24/09/2021 00:00,1632405600.0
124,8801,26,6,1,0.27,24/09/2021 00:00,1632405600.0
125,6295,26,6,6,0.0,24/09/2021 00:00,1632405600.0
126,2886,26,6,0,0.0,24/09/2021 00:00,1632405600.0
127,2805,26,2,1,0.33,24/09/2021 00:00,1632405600.0
128,9595,26,2,3,0.0,24/09/2021 00:00,1632405600.0
129,3857,27,6,6,0.33,25/09/2021 00:00,1632492000.0
130,4571,27,6,9,0.33,25/09/2021 00:00,1632492000.0
131,5339,27,6,2,0.0,25/09/2021 00:00,1632492000.0
132,4405,27,6,1,0.0,25/09/2021 00:00,1632492000.0
133,7852,27,1,6,0.33,25/09/2021 00:00,1632492000.0
134,2328,27,1,11,0.33,25/09/2021 00:00,1632492000.0
135,4925,27,1,10,0.0,25/09/2021 00:00,1632492000.0
136,1495,27,1,1,0.0,25/09/2021 00:00,1632492000.0
137,2621,27,2,8,0.33,25/09/2021 00:00,1632492000.0
138,3669,27,2,7,0.33,25/09/2021 00:00,1632492000.0
139,1213,27,2,4,0.0,25/09/2021 00:00,1632492000.0
140,6224,27,2,3,0.0,25/09/2021 00:00,1632492000.0
141,5739,28,1,4,0.33,28/09/2021 00:00,1632751200.0
142,8181,28,1,2,0.0,28/09/2021 00:00,1632751200.0
143,4290,28,3,3,0.33,28/09/2021 00:00,1632751200.0
