ID,site,tank,pump,error,meter_drift_rates,change_dates
5084,0,0,0,0,,
3945,0,0,0,1,0.010363041,12/01/2022 6:48
7144,0,0,1,0,,
6587,0,0,1,1,-0.009759407,16/02/2022 17:42
4479,0,0,2,0,,
3194,0,0,2,1,0.009914201,19/01/2022 18:58
5400,0,0,3,0,,
8334,0,0,3,1,-0.009816913,2/02/2022 12:02
7918,0,1,4,0,,
1193,0,1,4,1,0.00914717,22/03/2022 17:33
3168,0,1,5,0,,
4697,0,1,5,1,0.009729073,19/01/2022 13:14
9983,0,1,6,0,,
7092,0,1,6,1,0.010932031,11/02/2022 11:39
6119,0,1,2,0,,
8890,0,1,2,1,-0.010123447,28/02/2022 7:06
1720,0,2,6,0,,
9322,0,2,6,1,0.010103015,18/03/2022 18:29
2919,0,2,2,0,,
6605,0,2,2,1,0.009752662,24/03/2022 9:05
1741,0,3,5,0,,
8075,0,3,5,1,-0.009829428,25/02/2022 11:55
2120,0,3,4,0,,
9058,0,3,4,1,0.009464582,25/03/2022 15:01
7888,0,4,0,0,,
3462,0,4,0,1,-0.009062392,11/03/2022 19:50
5092,0,4,2,0,,
8475,0,4,2,1,0.009282816,2/03/2022 14:37
4196,0,4,1,0,,
8384,0,4,1,1,0.010041602,26/02/2022 16:57
2070,0,4,3,0,,
9241,0,4,3,1,-0.010060434,12/02/2022 15:16
3659,0,5,6,0,,
4706,0,5,6,1,0.00943759,24/03/2022 10:29
7347,0,5,0,0,,
4083,0,5,0,1,-0.009416457,3/01/2022 13:13
6132,0,5,1,0,,
7782,0,5,1,1,0.009104537,9/03/2022 19:38
5343,0,5,2,0,,
9746,0,5,2,1,0.009613749,10/02/2022 17:43
8232,0,5,5,0,,
9050,0,5,5,1,-0.009895581,15/01/2022 12:14
1194,0,5,4,0,,
2979,0,5,4,1,-0.010008965,1/02/2022 11:17
1120,0,5,3,0,,
4925,0,5,3,1,-0.010852921,14/02/2022 14:49
8180,0,5,2,0,,
9440,0,5,2,1,-0.00918575,16/03/2022 17:18
1508,1,0,2,0,,
5791,1,0,2,1,-0.010667773,6/05/2021 13:53
8059,1,0,3,0,,
3772,1,0,3,1,-0.009240337,9/05/2021 20:31
1713,1,0,2,0,,
4319,1,0,2,1,-0.009223079,29/04/2021 16:58
3290,1,0,6,0,,
9198,1,0,6,1,-0.009455299,24/04/2021 9:23
6870,1,0,2,0,,
4642,1,0,2,1,0.010196607,26/05/2021 8:52
7197,1,1,2,0,,
7536,1,1,2,1,0.009024624,14/05/2021 3:04
8381,1,1,2,0,,
7583,1,1,2,1,0.010306061,14/05/2021 13:40
8003,1,2,2,0,,
4704,1,2,2,1,0.009572422,16/06/2021 14:46
9032,1,2,2,0,,
5814,1,2,2,1,0.009633071,16/05/2021 16:14
3458,1,3,2,0,,
5065,1,3,2,1,-0.010701184,4/05/2021 10:59
3028,1,3,2,0,,
3749,1,3,2,1,0.009466911,27/05/2021 21:19
4489,1,4,7,0,,
9328,1,4,7,1,0.009878435,17/05/2021 17:45
5859,1,4,8,0,,
2335,1,4,8,1,-0.009270073,21/04/2021 18:50
7158,1,4,0,0,,
9642,1,4,0,1,0.010855218,1/05/2021 10:41
7594,1,4,1,0,,
8385,1,4,1,1,0.0096773,18/04/2021 18:36
1962,1,5,6,0,,
1442,1,5,6,1,-0.010791897,22/06/2021 11:21
2101,1,5,2,0,,
1253,1,5,2,1,0.010676143,23/05/2021 14:16
5364,1,5,5,0,,
5830,1,5,5,1,-0.00979879,10/05/2021 11:59
4743,1,5,4,0,,
2554,1,5,4,1,0.009571349,13/05/2021 7:43
9274,1,6,5,0,,
4606,1,6,5,1,-0.010355814,22/05/2021 12:30
6366,1,6,4,0,,
2095,1,6,4,1,-0.009815728,10/06/2021 19:26
1466,1,6,0,0,,
2953,1,6,0,1,-0.010190243,2/05/2021 14:56
9855,1,6,1,0,,
1545,1,6,1,1,-0.010773864,11/05/2021 0:25
9777,1,7,6,0,,
7128,1,7,6,1,0.009563675,14/06/2021 18:11
7093,1,7,2,0,,
9106,1,7,2,1,0.010430701,13/06/2021 14:19
7584,1,7,8,0,,
9218,1,7,8,1,0.010504442,22/06/2021 14:44
8382,1,7,7,0,,
7525,1,7,7,1,0.009633473,11/06/2021 16:40
6555,2,0,7,0,,
4596,2,0,7,1,0.010582407,20/01/2022 14:00
7010,2,0,5,0,,
7963,2,0,5,1,0.009824859,15/01/2022 8:14
3448,2,0,4,0,,
7097,2,0,4,1,-0.009504354,18/12/2021 16:00
3832,2,0,8,0,,
9759,2,0,8,1,0.01034487,10/02/2022 9:23
2966,2,1,7,0,,
1529,2,1,7,1,0.01061238,25/01/2022 17:03
5711,2,1,8,0,,
8518,2,1,8,1,-0.00981869,31/12/2021 4:50
6282,2,1,5,0,,
2076,2,1,5,1,-0.010381484,21/01/2022 10:53
6164,2,1,4,0,,
4139,2,1,4,1,-0.009928871,9/01/2022 20:21
1456,2,2,6,0,,
9672,2,2,6,1,-0.010586168,10/01/2022 10:08
6938,2,2,2,0,,
5810,2,2,2,1,0.010763379,8/01/2022 5:30
1046,2,3,6,0,,
1830,2,3,6,1,-0.010149208,23/12/2021 8:00
2650,2,3,2,0,,
3842,2,3,2,1,-0.009076474,26/01/2022 11:54
4584,2,4,3,0,,
6686,2,4,3,1,0.010763495,21/01/2022 6:22
2765,2,4,2,0,,
4166,2,4,2,1,-0.010329689,24/12/2021 7:33
9770,3,1,8,0,,
9994,3,1,8,1,0.010962714,12/02/2022 17:23
7980,3,1,2,0,,
8221,3,1,2,1,0.009735214,21/01/2022 8:38
9394,3,1,7,0,,
2006,3,1,7,1,-0.010668613,6/02/2022 13:42
8902,3,1,4,0,,
1201,3,1,4,1,-0.009514112,26/03/2022 13:32
1865,3,1,5,0,,
9180,3,1,5,1,0.010062048,22/03/2022 7:09
2863,3,3,2,0,,
9932,3,3,2,1,0.01043661,15/02/2022 18:12
4496,3,3,8,0,,
6871,3,3,8,1,0.009611747,22/01/2022 11:11
5648,3,3,4,0,,
5124,3,3,4,1,0.009254696,23/01/2022 19:01
1570,3,3,5,0,,
7534,3,3,5,1,0.009914505,17/03/2022 20:52
4011,3,3,7,0,,
5733,3,3,7,1,-0.009514799,28/01/2022 9:47
1718,3,4,1,0,,
1630,3,4,1,1,-0.010842468,22/02/2022 11:29
6273,3,4,0,0,,
8839,3,4,0,1,-0.009828957,21/01/2022 14:34
3908,4,0,7,0,,
4502,4,0,7,1,0.010612579,25/02/2022 7:08
4368,4,0,4,0,,
6271,4,0,4,1,-0.010858783,22/01/2022 8:51
9411,4,0,8,0,,
6244,4,0,8,1,0.010231334,24/02/2022 17:17
6197,4,0,5,0,,
1106,4,0,5,1,0.009533675,24/01/2022 20:02
6741,4,1,6,0,,
2583,4,1,6,1,-0.010455074,9/02/2022 18:59
6647,4,1,8,0,,
5613,4,1,8,1,0.010718913,17/03/2022 12:25
3910,4,1,2,0,,
3536,4,1,2,1,0.00970537,12/03/2022 16:28
2181,4,1,7,0,,
8252,4,1,7,1,0.00983113,24/03/2022 15:06
1407,4,2,4,0,,
7437,4,2,4,1,-0.010441214,20/03/2022 10:43
6485,4,2,5,0,,
7759,4,2,5,1,0.010421979,6/03/2022 15:31
4352,4,2,1,0,,
1893,4,2,1,1,-0.010156144,9/01/2022 9:41
1057,4,2,0,0,,
1576,4,2,0,1,0.009952698,18/02/2022 9:42
2215,4,3,2,0,,
4362,4,3,2,1,-0.009174187,16/02/2022 9:47
